symbol,name,industry,close,marketCap,aboveSma12m,aboveSma200,aboveSma150,vcp,contractions,volatilityRatio,pe,peTrend,fcf,fcfTrend,eps,epsTrend,freeFloatPct,closelyHeldPct,employees,rulesPassed,rulesTotal,score
TTWO,Take-Two Interactive Software Inc. Common Stock,Consumer Discretionary,241.61,45176344833,true,true,true,false,14,0.51,,unknown,,unknown,,unknown,,,12909,6,12,5
HEI,Heico Corporation Common Stock,Industrials,371.28,51881816226,true,true,true,false,15,0.13,,unknown,,unknown,,unknown,,,11100,6,12,5
AMP,Ameriprise Financial Inc. Common Stock,Finance,561.63,50488899287,true,true,true,false,12,2.1,,unknown,,unknown,,unknown,,,13600,6,12,5
DAL,Delta Air Lines Inc. Common Stock,Consumer Discretionary,87.59,57601201198,true,true,true,false,9,0.56,,unknown,,unknown,,unknown,,,103000,6,12,5
AXON,Axon Enterprise Inc. Common Stock,Industrials,604.32,49093394633,true,true,true,false,8,1.25,,unknown,,unknown,,unknown,,,5100,6,12,5
OKE,ONEOK Inc. Common Stock,Utilities,95.32,60086836658,true,true,true,false,8,2.17,,unknown,,unknown,,unknown,,,6326,6,12,5
PSA,Public Storage Common Stock,Real Estate,324.31,56955689968,true,true,true,false,9,1.1,,unknown,,unknown,,unknown,,,5770,6,12,5
MPWR,Monolithic Power Systems Inc. Common Stock,Technology,1415.99,69585996570,true,true,true,false,11,1.34,,unknown,,unknown,,unknown,,,4501,6,12,5
TGT,Target Corporation Common Stock,Consumer Discretionary,151.01,68587399823,true,true,true,false,14,13.65,,unknown,,unknown,,unknown,,,415000,6,12,5
ROK,Rockwell Automation Inc. Common Stock,Industrials,444.6,49472399504,true,true,true,false,12,0.34,,unknown,,unknown,,unknown,,,26000,6,12,5
BKR,Baker Hughes Company Class A Common Stock,Consumer Discretionary,64.9,64424547208,true,true,true,false,15,0.31,,unknown,,unknown,,unknown,,,56000,6,12,5
PRU,Prudential Financial Inc. Common Stock,Finance,124.56,42973200000,true,true,true,false,10,0.03,,unknown,,unknown,,unknown,,,36824,6,12,5
XEL,Xcel Energy Inc. Common Stock,Utilities,79.21,49477283378,true,true,true,false,11,1.08,,unknown,,unknown,,unknown,,,11534,6,12,5
